Id,Date Added,Council Member,Recipient Self,Recipient Dependent,Recipient Staff,Source,Date Gifted,Nature / Value,Reason,Intent,Value
103,2018-06-18,Brian Bowman,yes,no,yes,Nicola Starin - CancerCareMB,2018-04-04,A Gold Plated Evening - $400,Bring greetings,Retain,400
129,2018-06-18,Brian Bowman,yes,no,no,Chandra Kremski - Third & Bird,2018-05-03,"Meal, courtesy gifts - $100","Tour, meet and greet of shoppers and exhibitors",Retain,100
456,2019-08-20,Vivian Santos,yes,no,no,Max's Restaurant,2019-04-05,Lunch,attended Grand Opening of restaurant,retained,
36,2018-04-05,Brian Bowman,yes,no,no,Michael Shuman,2018-02-23,Two books - $100,Presented during meeting,Retained,100
85,2018-05-24,Shawn Dobson,yes,no,no,AMCC (Assiniboine Memorial Curling Club),2018-04-20,Lasagna (dinner),"Year End FUNSpiel, and their annual Volunteer Appreciation night",retained,
338,2018-12-30,Matt Allard,yes,no,no,Manitoba Building Trades,2018-08-15,Hospitality,I was invited to be building trades reception and attended,retained,
115,2018-06-18,Brian Bowman,yes,no,yes,Jeff Hnatiuk - Sport Manitoba,2018-04-21,Coaching MB Impact Awards - $100,"Bring greetings, present awards",Retain,100
459,2019-08-20,Vivian Santos,yes,no,no,City of Winnipeg Civic Retirees,2019-04-29,Lunch,attended as City Councillor,retained,
33,2018-04-05,Brian Bowman,yes,no,no,Habitat for Humanity,2018-03-18,Ticket - Habitat Women's Build Speaker Series - $120,Bring greetings,Retained,120
536,2020-01-08,Brian Bowman,yes,no,yes,All Seniors Care Living Centre,2019-12-09,2 boxes of Cookies - $20.00,Courtesy Gift,Retained,20
526,2019-12-09,Brian Bowman,yes,no,no,Jordan Van Sewell - The Golden Dragon Gala,2019-11-05,Ceramic/Clay painting of a Dragon - $700.00,Courtesy Gift,Archives,700
